name,price,info
არაყი Finlandia - 1L,"49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემომშრალი,გამჭირვალე,,მშვიდი ალკ. შემცველობა40% მოცულობა1"
არაყი Finlandia - 1L,"49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემომშრალი,გამჭირვალე,,მშვიდი ალკ. შემცველობა40% მოცულობა1"
არაყი Absolut Blue - 1L,"39,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოდელიკატური, მარცვლეული, სხვადასხვა ჩირი ალკ. შემცველობა40% მოცულობა1"
არაყი Absolut Blue - 1L,"39,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოდელიკატური, მარცვლეული, სხვადასხვა ჩირი ალკ. შემცველობა40% მოცულობა1"
"Finlandia, ლაიმის არაყი - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიციტრუსი გემოლაიმი, თაფლი ალკ. შემცველობა37.5% მოცულობა1"
"Finlandia, ლაიმის არაყი - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიციტრუსი გემოლაიმი, თაფლი ალკ. შემცველობა37.5% მოცულობა1"
არაყი Beluga - 1L,"164,90 ₾","ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიმდიდარი,სუფთა გემორბილი ალკ. შემცველობა40% მოცულობა1"
არაყი Beluga - 1L,"164,90 ₾","ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიმდიდარი,სუფთა გემორბილი ალკ. შემცველობა40% მოცულობა1"
"Finlandia, გრეიფრუტის არაყი - 1L","49,90 ₾",ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიციტრუსი გემოახლად გამოწურული გრეიპფრუტი ალკ. შემცველობა37.5% მოცულობა1
"Finlandia, გრეიფრუტის არაყი - 1L","49,90 ₾",ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიციტრუსი გემოახლად გამოწურული გრეიპფრუტი ალკ. შემცველობა37.5% მოცულობა1
არაყი Finlandia - 0.5L,"28,50 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემომშრალი,გამჭირვალე,,მშვიდი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Finlandia - 0.5L,"28,50 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემომშრალი,გამჭირვალე,,მშვიდი ალკ. შემცველობა40% მოცულობა0.5"
"Absolut, საზამთროს არაყი - 0.7L","32,90 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერივარდისფერი არომატისაზამთრო გემოსაზამთრო ალკ. შემცველობა38% მოცულობა0.7
"Absolut, საზამთროს არაყი - 0.7L","32,90 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერივარდისფერი არომატისაზამთრო გემოსაზამთრო ალკ. შემცველობა38% მოცულობა0.7
არაყი Danzka - 1L,"39,90 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდელიკატური,მდიდარი გემოდელიკატური,მდიდარი ალკ. შემცველობა40% მოცულობა1"
არაყი Danzka - 1L,"39,90 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდელიკატური,მდიდარი გემოდელიკატური,მდიდარი ალკ. შემცველობა40% მოცულობა1"
არაყი Danzka - 0.5L,"33,40 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდელიკატური,მდიდარი გემოდელიკატური,მდიდარი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Danzka - 0.5L,"33,40 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდელიკატური,მდიდარი გემოდელიკატური,მდიდარი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Grey Goose - 1L,"164,90 ₾","ბრენდიGrey Goose წარმოშობასაფრანგეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა, ნუში,წიწაკა გემოანისი, წიწაკა, პარფუმი ალკ. შემცველობა40% მოცულობა1"
არაყი Grey Goose - 1L,"164,90 ₾","ბრენდიGrey Goose წარმოშობასაფრანგეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა, ნუში,წიწაკა გემოანისი, წიწაკა, პარფუმი ალკ. შემცველობა40% მოცულობა1"
"Absolut, გრეიფრუტის არაყი - 0.7L","32,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიცოცხალი გემოციტრუსი, გრეიფრუტი ალკ. შემცველობა40% მოცულობა0.7"
"Absolut, გრეიფრუტის არაყი - 0.7L","32,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიცოცხალი გემოციტრუსი, გრეიფრუტი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Grey Goose - 0.5L,"94,90 ₾","ბრენდიGrey Goose წარმოშობასაფრანგეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა, ნუში,წიწაკა გემოანისი, წიწაკა, პარფუმი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Grey Goose - 0.5L,"94,90 ₾","ბრენდიGrey Goose წარმოშობასაფრანგეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა, ნუში,წიწაკა გემოანისი, წიწაკა, პარფუმი ალკ. შემცველობა40% მოცულობა0.5"
